|R01|00000000000000000001|S|IF     |SWEDA               |IF ST200            |01.00.01  |20101030|185909|000|10793118000178|123456        |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2Ti PDV                                |0100      |9e107d9d372bb6826bd81d3542a419d6|20101030|20101030|0105
|R02|00000000000000000001|S|IF ST200            |01|000000|000026|000002|36101028|36101028||1005,70| 
|R02|00000000000000000001|S|IF ST200            |01|000001|000006|000001|20100928|20100928|013815|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000001|000056|000001|20100927|20100928|120321|361,00| 
|R02|00000000000000000001|S|IF ST200            |01|000002|000057|000001|20100927|20100928|121808|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000009|000120|000016|20100928|20100929|014402|500,00| 
|R02|00000000000000000001|S|IF ST200            |01|000009|000120|000016|20100928|20100929|040928|500,00| 
|R02|00000000000000000001|S|IF ST200            |01|000010|000121|000016|20100929|20100929|165323|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000014|000278|000004|20100928|20100928|022703|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000014|000278|000004|20100928|20100928|023128|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000016|000356|000004|20101002|20101002|023018|0,00| 
|R02|00000000000000000001|S|IF ST200            |01|000017|000359|000004|20101004|20101004|021905|0,00| 
|R03|00000000000000000001|S|IF ST200            |01|000000|AS     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|AT     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|Can-T  |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|DS     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|DT     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|FS1    |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|I1     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|IS1    |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|N1     |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|NS1    |1,00
|R03|00000000000000000001|S|IF ST200            |01|000000|OPNF   |1,00
|R03|00000000000000000001|S|IF ST200            |01|000001|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|Can-T  |81,00
|R03|00000000000000000001|S|IF ST200            |01|000001|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|OPNF   |0,00
|R03|00000000000000000001|S|IF ST200            |01|000001|TaT17  |280,00
|R03|00000000000000000001|S|IF ST200            |01|000002|AS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|AT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|Can-S  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|Can-T  |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|DS     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|DT     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|F1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|FS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|I1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|IS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|N1     |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|NS1    |0,00
|R03|00000000000000000001|S|IF ST200            |01|000002|OPNF   |0,00
